,year,item,value_in_cr_const,growth_rate_const,value_in_cr_current,growth_rate_current,data_updated_date
0,2024-25,PRIMARY SECTOR,2815137.0,4.4,5957032.0,10.1,2025-06-19
1,2023-24,PRIMARY SECTOR,2697294.0,2.7,5410210.0,9.1,2025-06-19
2,2022-23,PRIMARY SECTOR,2625711.0,5.9,4960015.0,9.3,2025-06-19
3,2021-22,PRIMARY SECTOR,2479383.0,4.8,4538812.0,12.6,2025-06-19
4,2020-21,PRIMARY SECTOR,2365288.0,2.3,4030609.0,8.2,2025-06-19
5,2019-20,PRIMARY SECTOR,2311460.0,4.8,3725472.0,9.3,2025-06-19
6,2018-19,PRIMARY SECTOR,2205413.0,1.6,3407586.0,7.6,2025-06-19
7,2017-18,PRIMARY SECTOR,2169635.0,4.5,3165935.0,11.3,2025-06-19
8,2016-17,PRIMARY SECTOR,2075252.0,7.3,2845470.0,12.8,2025-06-19
9,2015-16,PRIMARY SECTOR,1934120.0,2.1,2521544.0,5.0,2025-06-19
10,2014-15,PRIMARY SECTOR,1894401.0,1.2,2402088.0,8.1,2025-06-19
11,2013-14,PRIMARY SECTOR,1872305.0,4.8,2222166.0,13.3,2025-06-19
12,2012-13,PRIMARY SECTOR,1786897.0,1.4,1960949.0,11.2,2025-06-19
13,2011-12,PRIMARY SECTOR,1762983.0,0.0,1762983.0,0.0,2025-06-19
